s,t,delta
2150,1804,470
2625,1805,475
3074,1806,449
3445,1807,371
3687,1808,242
3787,1809,100
3733,1810,-54
3531,1811,-202
3186,1812,-345
2761,1813,-425
2297,1814,-464
1827,1815,-470
1394,1816,-433
1034,1817,-360
817,1818,-217
747,1819,-70
805,1820,58
1018,1821,213
1373,1822,355
1795,1823,422
2269,1824,474
2737,1825,468
3168,1826,431
3518,1827,350
3724,1828,206
3788,1829,64
3696,1830,-92
3459,1831,-237
3090,1832,-369
2647,1833,-443
2176,1834,-471
1707,1835,-469
1303,1836,-404
973,1837,-330
786,1838,-187
749,1839,-37
843,1840,94
1090,1841,247
1467,1842,377
1912,1843,445
2391,1844,479
2856,1845,465
3259,1846,403
3580,1847,321
3755,1848,175
3781,1849,26
3650,1850,-131
3380,1851,-270
2996,1852,-384
2543,1853,-453
2063,1854,-480
1603,1855,-460
1204,1856,-399
911,1857,-293
764,1858,-147
754,1859,-10
887,1860,133
1175,1861,288
1561,1862,386
2026,1863,465
2505,1864,479
2962,1865,457
3354,1866,392
3634,1867,280
3774,1868,140
3763,1869,-11
3594,1870,-169
3287,1871,-307
2893,1872,-394
2430,1873,-463
1953,1874,-477
1505,1875,-448
1123,1876,-382
861,1877,-262
752,1878,-109
778,1879,26
948,1880,170
1262,1881,314
1668,1882,406
2139,1883,471
2614,1884,475
3064,1885,450
3431,1886,367
3684,1887,253
3785,1888,101
3736,1889,-49
3540,1890,-196
3199,1891,-341
2773,1892,-426
2312,1893,-461
1840,1894,-472
1408,1895,-432
1050,1896,-358
820,1897,-230
748,1898,-72
804,1899,56
1013,1900,209
1363,1901,350
1784,1902,421
2253,1903,469
2725,1904,472
3159,1905,434
3511,1906,352
3722,1907,211
3788,1908,66
3699,1909,-89
3464,1910,-235
3105,1911,-359
2663,1912,-442
2190,1913,-473
1717,1914,-473
1310,1915,-407
980,1916,-330
788,1917,-192
749,1918,-39
838,1919,89
1083,1920,245
1458,1921,375
1900,1922,442
2380,1923,480
2846,1924,466
3247,1925,401
3576,1926,329
3754,1927,178
3781,1928,27
3655,1929,-126
3389,1930,-266
3009,1931,-380
2552,1932,-457
2071,1933,-481
1610,1934,-461
1211,1935,-399
916,1936,-295
761,1937,-155
754,1938,-7
885,1939,131
1167,1940,282
1555,1941,388
2017,1942,462
2498,1943,481
2956,1944,458
3350,1945,394
3631,1946,281
3773,1947,142
3763,1948,-10
3598,1949,-165
3292,1950,-306
2900,1951,-392
2440,1952,-460
1961,1953,-479
1511,1954,-450
1127,1955,-384
861,1956,-266
750,1957,-111
776,1958,26
944,1959,168
1167,1960,223
1555,1961,388
2017,1962,462
2498,1963,481
2956,1964,458
3350,1965,394
3631,1966,281
3773,1967,142
3763,1968,-10
3598,1969,-165
3292,1970,-306
2900,1971,-392
2440,1972,-460
1961,1973,-479
1511,1974,-450
1127,1975,-384
861,1976,-266
750,1977,-111
776,1978,26
944,1979,168
